,model,validation f1 mean,validation f1 std,validation precision mean,validation precision std,validation recall mean,validation recall std,validation loss mean,validation loss std,validation auc mean,validation auc std
0,__conpool__allergy_None_PCA_LSTM_padded_mice.pth,0.41160627249832527,0.15890829089385775,0.3423373316403253,0.17597941016126353,0.763961038961039,0.12266000011522843,0.6892847537994384,0.001926375427741041,0.7066882548389622,0.08212337707369713
1,g___transfer_mmc7_to_allergy_mmc7_phylum__CNNLSTM_padded_mean.pth,0.3874465597488458,0.15267890300336726,0.28524892112620304,0.12384032466958647,0.7527705627705628,0.12057473107840387,0.5658446311950683,0.01831520396394154,0.6943027101169829,0.08211115583305609
2,allergy_order__LSTM_padded_mean.pth,0.41246782882752375,0.12895290109412733,0.3771876571141277,0.15073114594496387,0.856424963924964,0.12559341769935484,0.6901176750659943,0.004541966959002646,0.7352608459364027,0.06422962711537189
3,allergy_PCA_CNNLSTM__mean.pth,0.39559391009971767,0.15236410430504216,0.340667098111491,0.24930638548681242,0.7921356421356422,0.13342894474884298,0.6800955772399903,0.005614064042124166,0.6858980006652091,0.07716038233166496
4,g_df_conpool_transfer_mmc7_to_allergy_mmc7_phylum__LSTM_padded_None.pth,0.2606603586364785,0.13425762635182414,0.16569847257116044,0.08981066901268249,0.6945490620490621,0.27170303754604064,0.7004958629608155,0.0036439759451500128,0.3610633406854361,0.11263162687313061
5,allergy_None__CNNLSTM__GAIN.pth,0.42705934720539096,0.10330317218609844,0.47581738437001597,0.2101634898851664,0.8342027417027417,0.12401712855870445,0.6796241104602814,0.007326431999839625,0.7558155192789,0.0902628805574668
6,_df___allergy_None__CNNLSTM_padded_None.pth,0.31602863358419275,0.10413103116604217,0.3978132786753476,0.24923042730192652,0.6285281385281385,0.20617332033153302,0.6792552590370178,0.007334341485810239,0.5472977866175678,0.15450092374707086
7,__conpool__allergy_None_PCA_LSTM_padded_GAIN.pth,0.41258457973181073,0.14786179233861876,0.3943258125166861,0.2459883476025285,0.7808982683982685,0.14063559657753236,0.693455845117569,0.010385901981540161,0.704461588831905,0.06975874331845165
8,_df_conpool__mmc7_None_PCA_LSTM__None.pth,0.5762562623057498,0.05428754942141487,0.6372131685518782,0.1307698654557078,0.8340243902439024,0.054382450497106084,0.6917466819286346,0.002328284223450557,0.8275868251784653,0.0317051252001676
9,g_df_conpool__allergy_None_PCA_LSTM_padded_None.pth,0.38065960394438086,0.14177476692446064,0.2811900715563506,0.12408913597144748,0.6911832611832612,0.14994787839451276,0.6894785046577454,0.0017159877411676739,0.674002239374062,0.07328440314572623
10,allergy_phylum__CNNLSTM__mice.pth,0.3831950468017701,0.15066314798136796,0.3094693172324751,0.14044333472450998,0.856424963924964,0.12559341769935484,0.6739600360393524,0.010219494174048153,0.6880127081458053,0.08880470200806184
11,allergy_None__CNNLSTM__mice.pth,0.43603672483486156,0.12012916140581928,0.4085043377852708,0.2261361454561412,0.8383694083694084,0.1260018862097841,0.6796078860759736,0.007271130508892717,0.7208489580199676,0.09405934218730701
12,g__conpool__mmc7_None__CNNLSTM_padded_None.pth,0.5510113918909445,0.032462647220475795,0.428502081226447,0.029293188318654143,0.9653048780487804,0.012254277258342532,0.7033403396606446,0.0014619549780647409,0.7913243047293277,0.04020314630494225
13,g__conpool__mmc7_None__LSTM_padded_None.pth,0.5334911282127803,0.049457599819040514,0.5293286496696108,0.08037420234963052,0.8101829268292683,0.1435270657058275,0.7012220323085785,0.001221700043689597,0.7714884090571089,0.027605822564524003
14,__conpool__allergy_None__LSTM_padded_None.pth,0.4119370725892465,0.14663138643664647,0.37615384615384617,0.15374632964158924,0.7988780663780665,0.11645226208125105,0.7022775650024414,0.003933232093398048,0.700770473924584,0.08466321737027464
