,model,validation f1 mean,validation f1 std,validation precision mean,validation precision std,validation recall mean,validation recall std,validation loss mean,validation loss std,validation auc mean,validation auc std
0,_FD LSTM_,0.45120741726004887,0.10527102454175818,0.5129644764084123,0.273518210005796,0.8480916305916306,0.12407529242510872,4.251210308074951,0.28751311357846365,0.7730823870332937,0.06181257158953629
1, PCA_RNN_padded,0.8415079365079364,0.04492939787767909,0.8415079365079364,0.04492939787767909,0.8415079365079364,0.04492939787767909,0.7357508957386016,0.10733873289736101,0.7874017059893135,0.06955844816747422
2, RNN_padded,0.8188095238095237,0.07388292134870819,0.8188095238095237,0.07388292134870819,0.8188095238095237,0.07388292134870819,0.7581704378128051,0.18318756930629704,0.7487706304057495,0.06627590621429849
3,_FD LSTM_padded,0.8121428571428572,0.0692125834530026,0.8121428571428572,0.0692125834530026,0.8121428571428572,0.0692125834530026,4.224568510055542,0.26077363117214375,0.804571712795695,0.0699714858732943
4, LSTM_padded,0.8484920634920634,0.06571356682376507,0.8484920634920634,0.06571356682376507,0.8484920634920634,0.06571356682376507,0.7674433946609497,0.10533530470467295,0.7904419163041526,0.07744912754225786
5,_SD LSTM_,0.42824197767942956,0.12321802997572356,0.47125000000000006,0.23955176925733815,0.856424963924964,0.12559341769935484,0.7108747720718384,0.004494978130534782,0.7487403158092462,0.07199809924008231
6,_SD LSTM_padded,0.842063492063492,0.07795654867928278,0.842063492063492,0.07795654867928278,0.842063492063492,0.07795654867928278,0.7097356438636779,0.004853624385165347,0.7822631137419191,0.06507439062240333
7,_SD PCA_CNNLSTM_,0.43490568441126615,0.15537380837114795,0.4785246235246235,0.3040240233370487,0.8146356421356421,0.12232509718240937,0.6906157255172729,5.586778552777686e-05,0.7258953012369952,0.0766609175651874
8,_FD PCA_LSTM_padded,0.8284920634920635,0.053229597243223035,0.8284920634920635,0.053229597243223035,0.8284920634920635,0.053229597243223035,4.32172920703888,0.388154510591543,0.7856538241950504,0.0632117931672596
9,_FD PCA_CNNLSTM_,0.4372763284313021,0.10575501899162895,0.5974747474747474,0.29571032699256894,0.8508694083694085,0.12277414271412435,3.991185450553894,0.011636386819230056,0.7648155531395257,0.070906314062018
10,_SD PCA_LSTM_,0.4400829561859526,0.12713012148496886,0.4308877233877234,0.18101880137902426,0.845313852813853,0.12218358819631742,0.689742922782898,0.0032379367693522484,0.7716777251411664,0.05281796346974329
11,_SD CNNLSTM_padded,0.810873015873016,0.07966218199441225,0.810873015873016,0.07966218199441225,0.810873015873016,0.07966218199441225,0.6915664076805115,7.362989537588084e-05,0.7803136966205989,0.07405806113533422
12, PCA_LSTM_padded,0.8103174603174603,0.04964601324772512,0.8103174603174603,0.04964601324772512,0.8103174603174603,0.04964601324772512,0.9553799510002137,0.3305708439707168,0.7792914408522646,0.07068023479202896
13,_SD CNNLSTM_,0.4600683878086927,0.08028180208433515,0.5183333333333333,0.2104969135576195,0.845313852813853,0.12218358819631742,0.6915633141994476,7.39018444179987e-05,0.7646725655488582,0.0746001504752142
14,_FD CNNLSTM_padded,0.7919841269841269,0.1055432920433074,0.7919841269841269,0.1055432920433074,0.7919841269841269,0.1055432920433074,4.049502444267273,0.17716383292021434,0.7392180228697721,0.08865290166503142
15, LSTM_,0.8500793650793652,0.06612349585782319,0.8500793650793652,0.06612349585782319,0.8500793650793652,0.06612349585782319,0.7225978016853333,0.016888396440586415,0.7961126421943536,0.0719715831676791
16,_SD PCA_LSTM_padded,0.8319047619047618,0.05793737768427399,0.8319047619047618,0.05793737768427399,0.8319047619047618,0.05793737768427399,0.6897358238697052,0.0032886474033501116,0.7905032621315187,0.071852356410828
17, CNNLSTM_padded,0.8251587301587302,0.0630970350148436,0.8251587301587302,0.06309703501484361,0.8251587301587302,0.06309703501484361,0.8658328294754029,0.2574391796563901,0.7916291240489959,0.08394304049253576
18,_FD CNNLSTM_,0.41764358518670247,0.13850006228952466,0.4656643356643356,0.2967791129677522,0.8211002886002886,0.12459764567311993,3.954630661010742,0.02840256731842526,0.7239022622169031,0.07427396283022374
19, PCA_CNNLSTM_padded,0.808968253968254,0.06843373336986497,0.8089682539682539,0.06843373336986497,0.8089682539682539,0.06843373336986497,0.6912464499473572,0.03384311171703212,0.7575724198628951,0.08707583395494947
20,_FD PCA_LSTM_,0.43505191374261587,0.12645484598316026,0.48924309989527376,0.23385836697684403,0.8508694083694085,0.12277414271412435,4.119432091712952,0.16625337581807484,0.753731833914107,0.06411418750511776
21,_SD PCA_CNNLSTM_padded,0.7527777777777779,0.09769789692074343,0.7527777777777779,0.09769789692074343,0.7527777777777779,0.09769789692074343,0.6887179672718048,0.00585233178462471,0.759109167209946,0.08326271511491612
22,_FD PCA_CNNLSTM_padded,0.8354761904761905,0.06644999749279638,0.8354761904761905,0.06644999749279638,0.8354761904761905,0.06644999749279638,3.99112868309021,0.013443816342176782,0.79650421689587,0.06984049601591191
