,model,validation f1 mean,validation f1 std,validation precision mean,validation precision std,validation recall mean,validation recall std,validation loss mean,validation loss std,validation auc mean,validation auc std
0,g___transfer_mmc7_to_allergy_mmc7_phylum__LSTM_padded_None.pth,0.230175044,0.131761908,0.142143134,0.085336613,0.711222944,0.281907009,0.769118011,0.018782317,0.34437999,0.128579019
1,g_df__transfer_mmc7_to_allergy_mmc7_phylum__LSTM_padded_None.pth,0.230175044,0.131761908,0.142143134,0.085336613,0.711222944,0.281907009,0.769118011,0.018782317,0.34437999,0.128579019
2,g___transfer_mmc7_to_allergy_mmc7_phylum__LSTM_padded_mean.pth,0.230175044,0.131761908,0.142143134,0.085336613,0.711222944,0.281907009,0.769118011,0.018782317,0.34437999,0.128579019
3,g_df__transfer_mmc7_to_allergy_mmc7_phylum__LSTM_padded_mean.pth,0.230175044,0.131761908,0.142143134,0.085336613,0.711222944,0.281907009,0.769118011,0.018782317,0.34437999,0.128579019
4,g___transfer_mmc7_to_allergy_mmc7_phylum__LSTM_padded_GAIN.pth,0.230175044,0.131761908,0.142143134,0.085336613,0.711222944,0.281907009,0.769118011,0.018782317,0.34437999,0.128579019
5,g_df__transfer_mmc7_to_allergy_mmc7_phylum__LSTM_padded_mice.pth,0.230175044,0.131761908,0.142143134,0.085336613,0.711222944,0.281907009,0.769118011,0.018782317,0.34437999,0.128579019
6,g___transfer_mmc7_to_allergy_mmc7_phylum__LSTM_padded_mice.pth,0.230175044,0.131761908,0.142143134,0.085336613,0.711222944,0.281907009,0.769118011,0.018782317,0.34437999,0.128579019
7,g_df__transfer_mmc7_to_allergy_mmc7_phylum__LSTM_padded_GAIN.pth,0.230175044,0.131761908,0.142143134,0.085336613,0.711222944,0.281907009,0.769118011,0.018782317,0.34437999,0.128579019
8,g____allergy_None__LSTM__None.pth,0.240855575,0.146691269,0.149706453,0.094355322,0.67748557,0.322605316,0.666596657,0.008271322,0.351934535,0.088047841
9,g____allergy_None__LSTM_padded_None.pth,0.240855575,0.146691269,0.149706453,0.094355322,0.67748557,0.322605316,0.666596657,0.008271322,0.351934535,0.088047841
10,g_df___allergy_None__LSTM_padded_None.pth,0.240855575,0.146691269,0.149706453,0.094355322,0.67748557,0.322605316,0.666596657,0.008271322,0.351934535,0.088047841
11,g_df___allergy_None__LSTM__None.pth,0.240855575,0.146691269,0.149706453,0.094355322,0.67748557,0.322605316,0.666596657,0.008271322,0.351934535,0.088047841
12,g_df_conpool_transfer_mmc7_to_allergy_mmc7_phylum__LSTM_padded_None.pth,0.260660359,0.134257626,0.165698473,0.089810669,0.694549062,0.271703038,0.700495863,0.003643976,0.361063341,0.112631627
