,model,validation f1 mean,validation f1 std,validation precision mean,validation precision std,validation recall mean,validation recall std,validation loss mean,validation loss std,validation auc mean,validation auc std,,,normal,first,second,,,,,,,,,,,,,,,,
2,______mmc7_None__CNNLSTM__None.pth,0.5983615,0.033447537,0.734058474,0.085784982,0.962987805,0.016229252,3.644031978,1.259483042,0.801545025,0.029772835,,f1,3,4,1,,,,,,,,,,,,,,,,
0,_FirstLightningDistillation_____mmc7_None__CNNLSTM__None.pth,0.599207825,0.030018911,0.692715008,0.092762642,0.913170732,0.057382682,6.756588316,1.152252466,0.813255404,0.026854773,,auc,0,5,3,,,,,,,,,,,,,,,,
6,_SecondLightningDistillation_____mmc7_None__CNNLSTM__None.pth,0.619069111,0.038651297,0.698931522,0.071619651,0.957865854,0.02251883,0.717843997,0.005911751,0.8065611,0.031642729,,,3,9,4,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,______mmc7_None__CNNLSTM_padded_None.pth,0.715763948,0.056996525,0.768598245,0.105098017,0.948421053,0.001289205,1.30518558,0.327616712,0.888751154,0.043128734,,,,,,,,,,,,,,,,,,,,,
21,_FirstLightningDistillation_____mmc7_None__CNNLSTM_padded_None.pth,0.727972824,0.064382712,0.767923977,0.098939268,0.886842105,0.068319763,5.152547455,0.443186599,0.883094645,0.046543587,,,,,,,,,,,,,,,,,,,,,
17,_SecondLightningDistillation_____mmc7_None__CNNLSTM_padded_None.pth,0.717931067,0.062029773,0.702070623,0.109562427,0.943421053,0.014521452,0.72815913,0.007029335,0.898805633,0.043845133,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,______mmc7_None__LSTM__None.pth,0.579536931,0.036092172,0.614908975,0.083651047,0.886280488,0.068052851,1.327193004,0.355799446,0.788778133,0.038482321,,,,,,,,,,,,,,,,,,,,,
12,_FirstLightningDistillation_____mmc7_None__LSTM__None.pth,0.585334703,0.032129192,0.622723444,0.099397477,0.921097561,0.037288168,4.602142,0.430010835,0.789287664,0.032650249,,,,,,,,,,,,,,,,,,,,,
10,_SecondLightningDistillation_____mmc7_None__LSTM__None.pth,0.583226943,0.040244974,0.585139114,0.069584994,0.898597561,0.049302127,0.692227656,2.24E-05,0.793283413,0.041925087,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,______mmc7_None__LSTM_padded_None.pth,0.684777547,0.063950951,0.681209869,0.076364151,0.871578947,0.086760727,0.957086778,0.54404565,0.863505078,0.054017125,,,,,,,,,,,,,,,,,,,,,
11,_FirstLightningDistillation_____mmc7_None__LSTM_padded_None.pth,0.683461999,0.056583594,0.641619433,0.080230081,0.922894737,0.0410231,4.309619093,0.520832137,0.860340489,0.050006288,,,,,,,,,,,,,,,,,,,,,
9,_SecondLightningDistillation_____mmc7_None__LSTM_padded_None.pth,0.683727821,0.05142936,0.650818854,0.062661248,0.881578947,0.077432841,0.692182428,3.88E-05,0.872284164,0.045879157,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,______mmc7_None_PCA_CNNLSTM__None.pth,0.611831079,0.025344622,0.694985918,0.063776558,0.933353659,0.039637007,4.378997266,1.414814503,0.813881085,0.024343192,,,,,,,,,,,,,,,,,,,,,
1,_FirstLightningDistillation_____mmc7_None_PCA_CNNLSTM__None.pth,0.615138842,0.022480185,0.699422553,0.044521627,0.940792683,0.033391538,6.428232002,1.477207309,0.819197501,0.023566011,,,,,,,,,,,,,,,,,,,,,
