,model,validation f1 mean,validation f1 std,validation precision mean,validation precision std,validation recall mean,validation recall std,validation loss mean,validation loss std,validation auc mean,validation auc std
10,______allergy_None__CNNLSTM__None.pth,0.463698799,0.116277826,0.577336601,0.25410488,0.843726551,0.120094317,0.679148638,0.007382343,0.76399333,0.062633244
21,_FirstLightningDistillation_____allergy_None__CNNLSTM__None.pth,0.417643585,0.138500062,0.465664336,0.296779113,0.821100289,0.124597646,3.954630661,0.028402567,0.723902262,0.074273963
4,_SecondLightningDistillation_____allergy_None__CNNLSTM__None.pth,0.460068388,0.080281802,0.518333333,0.210496914,0.845313853,0.122183588,0.691563314,7.39E-05,0.764672566,0.07460015
19,,,,,,,,,,,
0,,,,,,,,,,,
8,______allergy_None__CNNLSTM_padded_None.pth,0.507661058,0.110899169,0.625357143,0.25182106,0.856424964,0.125593418,0.76895476,0.163622635,0.798365816,0.086625813
6,_FirstLightningDistillation_____allergy_None__CNNLSTM_padded_None.pth,0.435147078,0.159354901,0.42218427,0.224264839,0.856424964,0.125593418,4.112031341,0.32040847,0.738295604,0.08325299
16,_SecondLightningDistillation_____allergy_None__CNNLSTM_padded_None.pth,0.489806644,0.122117809,0.523087074,0.237780314,0.856424964,0.125593418,0.691566408,7.36E-05,0.797541132,0.071271519
1,,,,,,,,,,,
3,,,,,,,,,,,
14,______allergy_None__LSTM__None.pth,0.427605583,0.117479343,0.470873016,0.241594406,0.856424964,0.125593418,0.907387578,0.30122555,0.742227946,0.072502254
23,_FirstLightningDistillation_____allergy_None__LSTM__None.pth,0.451207417,0.105271025,0.512964476,0.27351821,0.848091631,0.124075292,4.251210308,0.287513114,0.773082387,0.061812572
12,_SecondLightningDistillation_____allergy_None__LSTM__None.pth,0.428241978,0.12321803,0.47125,0.239551769,0.856424964,0.125593418,0.710874772,0.004494978,0.748740316,0.071998099
22,,,,,,,,,,,
7,,,,,,,,,,,
17,______allergy_None__LSTM_padded_None.pth,0.481266179,0.133883926,0.550671877,0.282795466,0.856424964,0.125593418,0.728493309,0.033420309,0.79467325,0.067507788
11,_FirstLightningDistillation_____allergy_None__LSTM_padded_None.pth,0.50263673,0.149649722,0.469576257,0.1872835,0.834202742,0.124017129,4.249458885,0.300495774,0.807749017,0.067371898
20,_SecondLightningDistillation_____allergy_None__LSTM_padded_None.pth,0.476265423,0.11449856,0.523452381,0.237083595,0.856424964,0.125593418,0.709735638,0.004853629,0.782467468,0.065406431
5,,,,,,,,,,,
15,,,,,,,,,,,
2,______allergy_None_PCA_CNNLSTM__None.pth,0.416091861,0.139218735,0.442524845,0.238450896,0.827334055,0.130588314,0.680035561,0.005566425,0.723175171,0.071029999
9,_FirstLightningDistillation_____allergy_None_PCA_CNNLSTM__None.pth,0.437276328,0.105755019,0.597474747,0.295710327,0.850869408,0.122774143,3.991185451,0.011636387,0.764815553,0.070906314
13,_SecondLightningDistillation_____allergy_None_PCA_CNNLSTM__None.pth,0.434905684,0.155373808,0.478524624,0.304024023,0.814635642,0.122325097,0.690615726,5.59E-05,0.725895301,0.076660918
18,,,,,,,,,,,
,,,,,,,,,,,
,______allergy_None_PCA_CNNLSTM_padded_None.pth,0.442501338,0.169569863,0.411950691,0.208896241,0.850869408,0.122774143,0.736408567,0.108057247,0.754039941,0.08409995
,_FirstLightningDistillation_____allergy_None_PCA_CNNLSTM_padded_None.pth,0.528926339,0.08678692,0.528366393,0.170505039,0.856424964,0.125593418,3.991113043,0.013449334,0.799918928,0.080129442
,_SecondLightningDistillation_____allergy_None_PCA_CNNLSTM_padded_None.pth,0.440002977,0.166095695,0.359765153,0.153609441,0.829282107,0.129512589,0.688717967,0.005852332,0.759670336,0.080947655
,,,,,,,,,,,
,,,,,,,,,,,
,______allergy_None_PCA_LSTM__None.pth,0.436808617,0.132665529,0.457599206,0.246170181,0.856424964,0.125593418,0.863975006,0.263867112,0.750626409,0.078915198
,_FirstLightningDistillation_____allergy_None_PCA_LSTM__None.pth,0.435051914,0.126454846,0.4892431,0.233858367,0.850869408,0.122774143,4.119432092,0.166253376,0.753731834,0.064114188
,_SecondLightningDistillation_____allergy_None_PCA_LSTM__None.pth,0.440082956,0.127130121,0.430887723,0.181018801,0.845313853,0.122183588,0.689742923,0.003237937,0.771677725,0.052817963
,,,,,,,,,,,
,,,,,,,,,,,
,______allergy_None_PCA_LSTM_padded_None.pth,0.45639592,0.109492842,0.514362027,0.237323095,0.840948773,0.121260672,0.935754436,0.290653312,0.783387795,0.067786342
,_FirstLightningDistillation_____allergy_None_PCA_LSTM_padded_None.pth,0.47544211,0.133847708,0.533369963,0.219641009,0.856424964,0.125593418,4.273698974,0.250753581,0.787692068,0.061267196
,_SecondLightningDistillation_____allergy_None_PCA_LSTM_padded_None.pth,0.474802385,0.12421549,0.514038462,0.274757932,0.839758297,0.127536857,0.68973583,0.003288645,0.789752951,0.071878226
